,ENTIDAD,NOM_ENT,POBTOT,POBFEM,POBMAS,P_0A2,P_3A5,P_6A11,P_12A14,P_15A17,POB15_64,P_60YMAS,PNACOE,PNACOE_F,PRESOE15,PCON_DISC,P15YM_AN,PE_INAC,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PSINDER,PDER_IMSS,PDER_SEGP,PAFIL_IPRIV,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,POBHOG,PHOGJEF_F,VIVTOT,PROM_OCUP,PRO_OCUP_C,VPH_1DOR,VPH_C_ELEC,VPH_AGUADV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_DRENAJ,VPH_REFRI,VPH_LAVAD,VPH_BICI,VPH_TV,VPH_PC,VPH_CEL,VPH_INTER,VPH_SPMVPI
645004,14,Jalisco,16603,8372,8231,775,823,1814,868,852,10166,2847,445,237,114,877,571,5312,7731,2944,4787,76,3051,4528,7934,239,15800,513,3,277,4998,1404,16578,4055,7419,3.32,0.88,1599,4970,4955,4619,845,4917,4928,4755,4274,1032,4669,1540,4370,1601,428
645237,14,Jalisco,4072,2061,2011,205,236,454,225,203,2473,652,150,63,38,197,114,1736,1393,360,1033,34,305,756,2929,70,3907,131,*,33,1096,236,4072,710,1511,3.72,1.04,279,1090,1072,960,223,1057,1062,1017,887,287,1015,257,894,422,44
645333,14,Jalisco,7302,3728,3574,311,322,759,368,399,4478,1394,260,145,70,583,211,2544,3307,1216,2091,23,1855,964,4160,49,6932,291,0,75,2259,779,7285,2297,3374,3.22,0.83,746,2251,2242,2136,470,2228,2240,2141,1865,729,2103,598,1874,805,126
645459,14,Jalisco,39839,20680,19159,2066,2196,4564,2266,2246,24607,5618,5422,2795,453,2317,1517,12435,18213,6958,11255,199,13743,6786,17267,714,38536,692,4,534,11045,3660,39816,11851,15816,3.6,0.91,3448,10976,10907,9869,2104,10732,10786,10510,9694,2615,10397,3051,9386,5789,889
646061,14,Jalisco,11039,5544,5495,429,529,1068,528,541,6843,2191,375,174,178,837,490,3916,4940,1690,3250,30,2726,2043,5958,20,10328,502,*,181,3277,958,10946,2877,5081,3.34,0.93,1016,3254,3243,2563,539,3179,3190,3112,2708,1018,3094,737,2791,1160,134
646186,14,Jalisco,150190,76480,73710,7723,8274,16273,8068,8145,98299,16619,6025,2818,1597,5335,4678,38904,77956,32323,45633,591,42785,80553,18682,4120,145271,2419,58,2260,40868,12237,149630,39868,52997,3.66,0.89,9273,40729,40615,39220,11154,40591,40623,39707,37708,11063,39591,16276,37926,24582,8393
648595,14,Jalisco,44353,22462,21891,2548,2609,5105,2503,2761,28328,4638,2452,1240,674,2142,1081,12845,20841,7824,13017,279,14174,18032,10509,441,41345,1833,11,1107,11140,3492,44215,12739,13555,3.97,1.08,3084,10973,11039,9630,4987,10936,10901,10401,9046,2330,10440,3704,10003,5783,1614
649168,14,Jalisco,9647,4938,4709,458,485,941,498,525,6127,1546,372,177,108,683,310,3663,4025,1447,2578,58,1754,5031,2509,162,9073,385,*,184,2711,689,9639,2055,3822,3.56,0.87,725,2694,2706,2373,611,2694,2698,2618,2323,1726,2591,901,2276,1457,230
649325,14,Jalisco,22758,11579,11179,1315,1285,2702,1193,1189,13862,3284,4017,2051,373,1557,1086,6867,10299,3663,6636,128,11529,2247,7966,90,21124,936,20,629,6311,2464,22642,8602,8971,3.59,1,1977,6263,6238,5026,870,6179,6210,5846,4917,2701,5954,1413,5449,2906,439
649861,14,Jalisco,727750,367408,360342,36805,44150,90586,44267,42020,485534,42070,111523,55131,26624,25325,8124,183967,364920,151989,212931,5825,210332,443924,40804,22756,636403,41424,994,47796,212301,66478,726801,211843,304504,3.42,1.01,53305,211858,211343,118935,37845,211784,211726,199750,165461,51181,202569,89287,202668,131838,53360
659072,14,Jalisco,687127,348283,338844,32818,36659,70350,35484,36177,464129,66660,84598,42369,13430,28756,11416,184359,351755,149112,202643,5413,204413,411009,40645,12636,612433,33111,686,35483,185279,62405,685954,221129,209978,3.7,0.99,41075,183609,182851,128683,66361,183331,183391,177050,155087,38906,177983,89291,172434,123377,51688
666310,14,Jalisco,11219,5654,5565,662,699,1411,598,580,6727,1543,1486,741,770,541,687,3322,4765,1871,2894,18,2656,3144,5024,28,10532,309,*,374,2618,712,10418,2525,3415,3.98,1.19,773,2555,2520,2040,784,2461,2464,2304,1810,268,2297,394,2088,705,70
666425,14,Jalisco,36316,17872,18444,1966,2074,4364,2153,1980,22089,5084,6877,3409,1350,2646,1773,9674,18023,6552,11471,71,6101,5373,21948,295,32822,1943,3,1466,10378,3309,36293,11034,13759,3.5,1.1,3798,10168,10111,6818,1005,9870,9865,9292,7631,1725,8535,2111,8884,2853,743
667105,14,Jalisco,569913,288218,281695,25551,30993,64559,31730,31717,383947,47246,53361,27214,7383,23641,8768,148564,290515,121124,169391,4474,201707,298781,42926,5951,504755,32506,456,27215,150488,48657,569511,175155,175986,3.78,1.06,32162,148962,148258,111186,60933,148621,148595,142756,124424,31175,143816,62526,140577,95438,35222
