,ENTIDAD,NOM_ENT,POBTOT,POBFEM,POBMAS,P_0A2,P_3A5,P_6A11,P_12A14,P_15A17,POB15_64,P_60YMAS,PNACOE,PNACOE_F,PRESOE15,PCON_DISC,P15YM_AN,PE_INAC,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PSINDER,PDER_IMSS,PDER_SEGP,PAFIL_IPRIV,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,POBHOG,PHOGJEF_F,VIVTOT,PROM_OCUP,PRO_OCUP_C,VPH_1DOR,VPH_C_ELEC,VPH_AGUADV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_DRENAJ,VPH_REFRI,VPH_LAVAD,VPH_BICI,VPH_TV,VPH_PC,VPH_CEL,VPH_INTER,VPH_SPMVPI
571348,13,Hidalgo,38010,19873,18137,1773,2065,4314,2057,2174,24375,4762,6708,3655,840,2237,2534,11527,17934,7180,10754,225,9524,3177,24074,65,33414,2591,41,1936,10216,2817,37943,8943,14162,3.71,1.1,3683,10065,9928,7893,1208,8616,9146,8504,5094,2345,9115,1293,8192,1198,166
571549,13,Hidalgo,17503,9108,8395,945,918,2176,1094,974,10600,2388,921,535,292,1044,2012,5187,8092,3429,4663,119,2194,262,13724,16,13796,2634,6,1060,4628,1437,17291,4584,6462,3.74,1.06,1797,4542,4525,2431,824,3879,4284,3000,1921,146,3614,603,3233,758,47
571603,13,Hidalgo,56245,29305,26940,2051,2410,5224,2707,2876,38015,8512,13047,6966,2055,3129,1309,19179,26164,11105,15059,1132,15701,29041,8513,556,43749,5655,96,6541,16487,5004,56229,15099,20610,3.41,0.79,4192,16425,16343,13797,2831,16096,16241,15134,12829,3190,15765,6452,14691,8544,2466
572928,13,Hidalgo,31235,15667,15568,1970,2325,4450,2045,1827,17872,3576,3437,1830,661,1549,4501,11175,10833,2642,8191,320,2308,2325,25687,557,26755,3800,22,611,7490,1314,31153,4371,9235,4.16,1.22,3339,7271,5726,2905,1245,5530,7079,3663,1881,94,5109,498,4325,467,78
572976,13,Hidalgo,90546,46484,44062,4233,4695,9513,4754,4713,60838,9699,19461,10360,3380,4192,2574,27120,44048,17869,26179,767,23557,46302,16361,645,76047,5511,85,8798,24686,7404,90522,24744,30537,3.67,0.94,7449,24472,23877,19951,3354,23194,23499,21486,16211,3378,22773,6947,21367,9358,2298
574130,13,Hidalgo,10830,5575,5255,422,522,1091,537,527,7000,1769,1525,898,374,800,323,3621,5058,2078,2980,93,2741,2010,5324,33,9177,824,22,804,3257,973,10827,2805,4771,3.32,0.92,1017,3186,3183,2568,540,2867,2996,2458,1752,841,2781,584,2679,927,101
574191,13,Hidalgo,11768,6028,5740,521,590,1204,586,615,7930,1427,935,516,139,518,446,4148,5085,1909,3176,178,3876,2679,4524,114,10086,782,20,858,3088,846,11768,2821,3960,3.81,0.95,703,3060,3051,2576,241,2995,3005,2569,1951,1194,2809,829,2662,1034,340
574475,13,Hidalgo,13032,6706,6326,602,718,1321,694,696,8755,1452,2784,1523,780,654,290,3706,6546,2701,3845,99,5779,1789,4820,51,11593,428,11,985,3444,987,13032,3182,4484,3.78,1.02,1115,3431,3417,3045,740,3364,3402,2911,2364,1732,3218,808,3020,1674,217
574661,13,Hidalgo,55134,28045,27089,2537,2822,6161,3055,3143,36480,6014,3721,2088,1021,2768,1890,14999,28021,11647,16374,447,17958,8546,24330,111,45630,3968,427,5083,14843,4147,55132,13473,18452,3.71,1.03,4520,14657,14623,10979,1419,14081,14200,11376,7232,6802,13065,3339,12331,3796,563
575084,13,Hidalgo,14340,7322,7018,701,720,1831,933,770,8417,2257,490,283,134,887,2154,5709,5140,1269,3871,214,2512,1259,9487,*,11465,2470,9,393,4026,852,14329,2281,5842,3.56,1.1,2134,3926,3301,1726,387,3105,3544,2177,988,39,2707,345,2596,195,22
575137,13,Hidalgo,168302,86255,82047,7685,8918,19189,10367,9709,113995,13266,118477,61205,44583,8725,1931,49648,80686,33540,47146,1834,59196,72092,18877,1709,119228,17361,809,30560,47529,13672,168147,43673,87237,3.54,0.93,13147,47356,47009,25437,6897,47181,47254,42827,36156,18603,45445,18823,45075,25739,7686
579456,13,Hidalgo,19067,9763,9304,805,975,2063,973,1121,12806,2160,1903,1031,324,1031,478,5740,9276,3850,5426,155,6508,3794,7629,54,15573,1844,9,1626,4917,1529,19065,5407,5936,3.88,1.03,1313,4874,4822,3886,508,4787,4819,4007,3060,1949,4479,1370,4186,1751,319
579698,13,Hidalgo,9086,4675,4411,377,451,972,512,489,5381,1813,521,318,118,979,1014,3681,3551,1044,2507,33,1770,117,6483,5,5887,2489,0,704,2850,667,9030,1636,4274,3.17,0.85,1202,2735,2323,1800,445,2367,2436,1977,1648,53,2089,276,1975,216,19
579723,13,Hidalgo,11113,5747,5366,366,495,1079,543,521,7513,1683,1857,1004,296,553,240,4068,4828,1927,2901,270,3023,5551,1831,145,9606,554,11,939,3187,803,11113,2336,3982,3.49,0.78,787,3154,3141,2818,265,3076,3084,2890,2444,825,3048,1279,2811,1505,427
579867,13,Hidalgo,37722,19245,18477,2126,2328,4925,2488,2372,22451,4754,2108,1139,856,2295,4350,14142,13911,4059,9852,197,3480,1488,30202,222,32265,3605,13,1823,9550,2051,37720,6342,11663,3.95,1.1,3703,9421,9357,4520,610,8048,8870,5853,2451,214,7130,956,6706,818,88
580050,13,Hidalgo,28626,14720,13906,1202,1363,2906,1441,1527,19499,3360,2175,1190,368,964,807,8929,13731,5473,8258,378,11201,6180,9207,75,25076,1560,42,1920,7034,2009,28621,7585,8012,4.07,1.04,1611,6981,6976,5783,1036,6892,6928,5620,4116,3503,6519,2103,6020,2342,482
580391,13,Hidalgo,21362,11058,10304,861,1142,2356,1170,1113,14327,2175,10239,5443,4098,1203,523,6771,9999,4097,5902,197,7131,8167,4520,244,16313,1748,50,3226,6014,1838,21267,5900,9940,3.54,0.98,1636,5983,5977,3525,657,5930,5969,5257,4335,1985,5721,1958,5524,2737,701
580813,13,Hidalgo,115107,59519,55588,4727,5456,11007,5648,5688,78212,14708,23216,12406,4264,5987,2281,36424,55688,23638,32050,1556,31170,46012,24123,1868,93883,10738,238,10051,33318,10785,114466,33324,43010,3.44,0.86,9032,32959,32382,29406,9743,32126,32457,29339,23279,6912,30851,12230,29704,16191,4800
582507,13,Hidalgo,168369,88602,79767,7892,8446,17475,8955,9152,112647,19373,28226,15487,5544,7306,5778,46136,86773,39588,47185,1201,75227,40867,39834,1154,133579,16540,284,17789,45953,16564,167512,55092,59262,3.65,0.93,12938,45679,44647,41488,15851,44650,45425,39378,30547,11334,42803,15366,41825,23128,6615
585365,13,Hidalgo,18260,9417,8843,818,1002,2349,1463,1260,10590,2751,615,352,292,989,3132,6612,7393,2410,4983,62,1657,3262,12334,13,16163,1595,38,432,4361,764,18222,2362,5501,4.18,1.28,1941,4243,3641,1561,338,2318,3106,1989,160,71,2293,165,1881,59,4
585410,13,Hidalgo,7015,3561,3454,270,322,665,360,416,4279,1447,393,212,137,555,544,2901,2768,800,1968,76,1288,381,4428,120,6291,457,0,265,2207,574,7015,1366,3339,3.18,0.94,1121,2169,2143,1062,112,2030,2069,1351,813,39,1711,249,1594,146,23
585483,13,Hidalgo,24674,12614,12060,1307,1331,2967,1768,1753,14611,3518,924,525,599,1404,4300,9625,9241,2589,6652,139,2842,1172,19794,20,19877,3582,42,1160,6277,1321,24674,3862,7743,3.93,1.18,2953,6159,4641,2503,487,3367,4101,3845,467,209,4304,475,3783,403,16
