NOM_ZM,POBTOT,POBFEM,POBMAS,P_0A2,P_3A5,P_6A11,P_12A14,P_15A17,POB15_64,P_60YMAS,P_15YMAS,P_18YMAS,PNACOE,PNACOE_F,PRESOE15,PCON_DISC,P15YM_AN,P15SEC_CO,P18YM_PB,PE_INAC,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PSINDER,PDER_IMSS,PDER_SEGP,PAFIL_IPRIV,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,PROM_OCUP,PRO_OCUP_C,VPH_1DOR,VPH_C_ELEC,VPH_AGUADV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_DRENAJ,VPH_REFRI,VPH_LAVAD,VPH_BICI,VPH_TV,VPH_PC,VPH_CEL,VPH_INTER,VPH_SPMVPI,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PROM_OCUP,PRO_OCUP_C
Hidalgo del Parral,121666,62935,58731,5631,6349,12379,6099,6053,79848,16411,91101,85048,10768,5559,2517,6563,1617,21285,42233,40745,54906,22461,32445,1359,14073,61589,28473,2164,96256,12959,36,12190,35970,12962,121201,40172,81029,43378,35989,6,0,9119,35768,35713,33292,3224,35650,35674,34731,31098,2016,34305,16041,33277,21512,7587,3199,2659,872,1399,3.0,0.0
Juárez,1512450,755473,756977,61661,75783,158006,84852,82775,1042232,134989,1127670,1044895,410142,205031,58446,64510,15008,328216,481392,424859,773941,321981,451960,11113,281293,995662,111663,53709,990518,217017,1606,295236,449452,152263,1505714,492203,1013511,520392,449602,3,0,131922,447215,445394,21983,4210,445733,446184,436106,395092,42892,433849,203599,422130,286079,121797,28426,30210,10133,10723,3.0,0.0
La Laguna,1434283,729228,705055,71487,78395,149120,73539,74215,950766,164764,1059547,985332,218577,112902,37660,67978,17558,274570,498847,443834,669804,275655,394149,16470,317997,878030,95555,33336,1128114,171756,1178,129277,409567,130531,1428980,419172,1009808,496532,409721,15,0,96573,407953,406938,271356,85105,402868,404318,393913,341478,108738,396005,163269,375803,223841,84283,33137,29553,9347,12406,3.0,0.0
La Paz,292241,146438,145803,10882,12776,26992,13547,14005,203031,37267,227140,213135,79830,39528,15230,15395,4043,46226,127126,84914,152265,64678,87587,2565,41161,133165,51140,5587,228451,27537,512,34262,91287,31036,290063,91547,198516,116231,91366,3,0,25232,89585,88540,81226,25704,88640,89503,85904,68316,11036,84222,49535,86795,63033,30943,7333,6985,1914,2726,3.0,0.0
La Piedad-Pénjamo,261450,135552,125898,13424,14176,27963,13519,13448,167182,35000,192319,178871,35425,18634,4038,17014,13217,45759,57134,82847,120261,46469,73792,1970,65042,71916,107152,1748,237812,13955,105,9325,69166,23090,260418,79971,180447,93810,69189,6,1,19452,68702,67785,56475,21345,65379,65585,64038,53593,14327,64840,19680,57037,27785,6666,9415,6583,2226,3324,3.0,0.5
León,1924771,978025,946746,96999,104979,203072,102200,103946,1292529,183913,1413289,1309343,184912,93035,39690,84613,50028,401566,551396,516850,974718,406556,568162,19318,410959,1010672,379913,46018,1740550,77941,2408,95689,487264,153418,1919833,573078,1346755,568823,487495,7,2,104853,484158,467189,401285,168946,481015,480517,455411,411298,156482,465899,206228,445102,279724,108557,38949,37106,12748,16257,3.5,1.0
Matamoros,541979,274081,267898,24460,28314,56263,28433,27941,368765,54690,403834,375893,110918,58090,12125,27446,8837,110241,174553,157450,267394,110611,156783,6627,131752,289064,81988,9370,336538,112136,358,91827,159564,51092,540093,161483,378610,195499,159609,3,0,52212,157814,155372,58905,19331,151909,152821,149691,110681,27289,149471,55715,148769,90738,30233,12311,12885,4091,4838,3.0,0.0
Mazatlán,501441,256060,245381,21023,22246,47651,24814,24500,341005,66475,385587,361087,73935,37515,19070,23927,7183,72290,206308,152583,252587,108450,144137,3958,99672,275858,61086,11843,385129,49129,512,65723,152884,55536,498785,171635,327150,196436,152976,3,0,50381,152024,151470,101316,22309,150855,151270,146344,120231,32320,144485,70136,141733,96531,40143,11966,9997,3514,4173,3.0,0.0
Mexicali,1049792,520544,529248,37394,45624,99545,51804,51325,734081,122934,814668,763343,302068,151904,32856,44519,13134,208697,399411,311290,540835,222980,317855,7949,190666,576267,142247,41859,692341,148322,1095,203845,330356,103068,1042395,304079,738316,385642,330500,3,0,93960,326832,326350,5467,2303,315458,317589,319303,289682,67648,313757,166799,309193,226594,110551,21524,18650,6575,7959,3.0,0.0
Minatitlán,359228,188610,170618,13525,17554,34808,17517,18024,241312,50586,275662,257638,36672,19683,6849,21916,17119,53715,116583,119881,167380,71044,96336,5261,97509,103977,103629,1423,208209,94494,322,55884,111235,38352,359136,112526,246610,139303,111245,18,4,47316,109656,97489,47347,8837,108368,108845,95748,80882,13335,94944,30479,95750,47793,12469,10378,10064,3448,4967,3.0,0.7
Monclova-Frontera,345119,173577,171542,17191,19459,35025,16923,16633,227796,43569,256253,239620,20935,10315,3060,17029,3275,71478,122431,117538,150106,57934,92172,5097,53878,251699,17393,4450,241553,53584,170,49189,100874,24400,344899,73031,271868,114656,100904,9,0,27322,100409,100104,79182,15529,99591,99999,98739,88853,17610,97296,40665,92559,60791,20834,8853,6859,2536,3641,3.0,0.0
