,NOM_ZM,POBTOT,POBFEM,POBMAS,P_0A2,P_3A5,P_6A11,P_12A14,P_15A17,POB15_64,P_60YMAS,P_15YMAS,P_18YMAS,PNACOE,PNACOE_F,PRESOE15,PCON_DISC,P15YM_AN,P15SEC_CO,P18YM_PB,PE_INAC,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PSINDER,PDER_IMSS,PDER_SEGP,PAFIL_IPRIV,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,TVIVPARHAB,VIVTOT,TVIVHAB,VPH_1CUART,VPH_1DOR,VPH_C_ELEC,VPH_AGUADV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_DRENAJ,VPH_REFRI,VPH_LAVAD,VPH_BICI,VPH_TV,VPH_PC,VPH_CEL,VPH_INTER,VPH_SPMVPI,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,P3YM_HLI,P3HLINHE,P3HLI_HE,POB_AFRO,PHOG_IND,PROM_OCUP,PRO_OCUP_C,POBFEM_%,POBMAS_%,P_0A2_%,P_3A5_%,P_6A11_%,P_12A14_%,P_15A17_%,POB15_64_%,P_18YMAS_%,P_60YMAS_%,PNACOE_%,PNACOE_F_%,PRESOE15_%,PCON_DISC_%,PCDISC_MOT_%,PCDISC_VIS_%,PCDISC_LENG_%,PCDISC_AUD_%,P15YM_AN_%,P15SEC_CO_%,P18YM_PB_%,PE_INAC_%,POCUPADA_%,POCUPADA_F_%,POCUPADA_M_%,PDESOCUP_%,PSINDER_%,OTRAS_DERECH,PDER_IMSS_%,PDER_SEGP_%,PAFIL_IPRIV_%,OTRAS_DERECH_%,PCATOLICA_%,PRO_CRIEVA_%,POTRAS_REL_%,PSIN_RELIG_%,HOGJEF_F_%,HOGJEF_M_%,PHOGJEF_F_%,PHOGJEF_M_%,TVIVHAB_%,VPH_1DOR_%,VPH_C_ELEC_%,VPH_AGUADV_%,VPH_TINACO_%,VPH_CISTER_%,VPH_EXCSA_%,VPH_DRENAJ_%,VPH_REFRI_%,VPH_LAVAD_%,VPH_BICI_%,VPH_TV_%,VPH_PC_%,VPH_CEL_%,VPH_INTER_%,VPH_SPMVPI_%,POBHOG_%,VPH_1CUART_%,P3YM_HLI_%,P3HLINHE_%,P3HLI_HE_%,PHOG_IND_%,POB_AFRO_%
11,Colima-Villa de álvarez,230813,117552,113261,8398,9653,21333,10860,11310,154244,36295,179872,168562,51928,27006,10035,14681,5316,40063,84436,70285,117984,50753,67231,1959,40890,109126,58327,4206,200481,14088,274,14968,72163,25446,46717,228770,74804,153966,72163,93030,72273,3213,23064,71332,71208,55692,22149,71212,71356,67272,54825,9850,66200,30468,65050,45141,14571,7673,6093,1880,2881,2041,90,1933,4358,3424,3.0,0.5,50.9,49.1,3.6,4.2,9.2,4.7,4.9,66.8,73.0,15.7,22.5,52.0,19.3,6.4,52.3,41.5,12.8,19.6,3.0,22.3,50.1,30.5,51.1,43.0,57.0,0.8,17.7,62533,47.3,25.3,1.8,27.1,86.9,6.1,0.1,6.5,35.3,64.7,32.7,67.3,77.7,32.0,98.8,98.7,77.2,30.7,98.7,98.9,93.2,76.0,13.6,91.7,42.2,90.1,62.6,20.2,99.1,4.5,0.9,0.0,0.8,1.5,1.9
12,Cuautla,483455,249486,233969,21427,24072,49615,25272,25580,318542,64440,362856,337276,118914,62976,19577,27155,18167,100223,144270,136906,245365,105929,139436,4072,146155,130900,159888,3407,334260,74778,708,73032,134740,46754,87986,481547,155996,325551,134740,210803,134796,11149,48545,133482,126215,102206,61869,130386,131867,119163,86335,34852,122551,43179,120346,65195,15457,13153,11553,4031,6244,12119,459,11618,10053,27513,3.0,0.8,51.6,48.4,4.4,5.0,10.3,5.2,5.3,65.9,69.8,13.3,24.6,53.0,16.5,5.6,48.4,42.5,14.8,23.0,5.0,27.6,42.8,28.3,50.8,43.2,56.8,0.8,30.2,163295,27.1,33.1,0.7,33.8,69.1,15.5,0.1,15.1,34.7,65.3,32.4,67.6,63.9,36.0,99.1,93.7,75.9,45.9,96.8,97.9,88.4,64.1,25.9,91.0,32.0,89.3,48.4,11.5,99.6,8.3,2.5,0.1,2.4,5.7,2.1
13,Cuernavaca,1028589,534494,494095,40227,46743,94969,49614,50333,695112,147097,796468,746135,315386,170301,46683,55382,26709,194411,389013,299046,531419,238522,292897,13156,299769,400646,230084,18337,721333,142040,2500,160508,299189,108778,190411,1023035,345840,677195,299189,434178,299362,19277,90060,297471,290243,249576,149820,294515,295517,277638,207407,35879,275474,131189,273041,190811,66334,27016,23834,7910,13105,17190,313,16691,22621,34766,3.0,0.6,52.0,48.0,3.9,4.5,9.2,4.8,4.9,67.6,72.5,14.3,30.7,54.0,14.8,5.4,48.8,43.0,14.3,23.7,3.4,24.4,52.1,29.1,51.7,44.9,55.1,1.3,29.1,248421,39.0,22.4,1.8,24.2,70.1,13.8,0.2,15.6,36.4,63.6,33.8,66.2,68.9,30.1,99.4,97.0,83.4,50.1,98.4,98.8,92.8,69.3,12.0,92.1,43.8,91.3,63.8,22.2,99.5,6.4,1.7,0.0,1.6,3.4,2.2
14,Culiacán,1003530,512484,491046,46505,49512,100904,51122,50846,678895,111713,753646,702800,93551,47384,23561,41959,19539,126850,420475,294747,498256,214159,284097,6742,202978,557343,130547,17763,793717,81727,607,124543,281567,104712,176855,991401,350864,640537,281567,340656,281726,6872,70537,280185,278202,143263,6212,276096,277566,274238,231364,37330,268037,137551,267476,175867,76748,20352,17394,6895,7524,4634,50,4518,16871,4677,3.0,0.0,51.1,48.9,4.6,4.9,10.1,5.1,5.1,67.7,70.0,11.1,9.3,50.7,25.2,4.2,48.5,41.5,16.4,17.9,2.6,16.8,59.8,29.4,49.7,43.0,57.0,0.7,20.2,148310,55.5,13.0,1.8,14.8,79.1,8.1,0.1,12.4,37.2,62.8,35.4,64.6,82.7,25.1,99.5,98.8,50.9,2.2,98.1,98.6,97.4,82.2,13.3,95.2,48.9,95.0,62.5,27.3,98.8,2.4,0.5,0.0,0.5,0.5,1.7
15,Córdoba,335950,177549,158401,13099,15662,32335,16360,16632,225859,46895,258440,241808,23835,13075,5003,16071,10939,50891,115307,102977,168505,73807,94698,2760,107890,150843,58053,5739,287397,30470,381,17478,100742,37658,63084,334502,115160,219342,100742,126413,100777,11079,35374,99869,96117,72418,14340,98064,99372,87477,67144,7480,92102,35230,88868,54943,15772,7081,7125,2576,3882,4295,72,4158,12998,10658,3.0,0.2,52.8,47.2,3.9,4.7,9.6,4.9,5.0,67.2,72.0,14.0,7.1,54.9,21.0,4.8,44.1,44.3,16.0,24.2,4.2,19.7,47.7,30.7,50.2,43.8,56.2,0.8,32.1,63792,44.9,17.3,1.7,19.0,85.5,9.1,0.1,5.2,37.4,62.6,34.4,65.6,79.7,35.1,99.1,95.4,71.9,14.2,97.3,98.6,86.8,66.6,7.4,91.4,35.0,88.2,54.5,15.7,99.6,11.0,1.3,0.0,1.2,3.2,3.9
16,Delicias,195359,99151,96208,9026,9925,19983,10279,9802,128978,25158,146033,136231,16930,8347,3124,9272,3024,38664,61064,60131,93948,39177,54771,2006,26683,115405,31958,3599,153090,20734,141,21050,61516,21901,39615,195035,65392,129643,61516,74923,61544,1200,18368,61222,61161,19781,1092,61063,61156,59890,55316,13403,59153,24076,57635,34314,13769,5111,3376,1447,1653,1378,78,1297,2127,2220,3.0,0.0,50.8,49.2,4.6,5.1,10.2,5.3,5.0,66.0,69.7,12.9,8.7,49.3,18.5,4.7,55.1,36.4,15.6,17.8,2.1,26.5,44.8,30.8,48.1,41.7,58.3,1.0,13.7,35557,59.1,16.4,1.8,18.2,78.4,10.6,0.1,10.8,35.6,64.4,33.5,66.5,82.1,29.9,99.5,99.4,32.2,1.8,99.3,99.4,97.4,89.9,21.8,96.2,39.1,93.7,55.8,22.4,99.8,2.0,0.7,0.0,0.7,1.1,1.1
17,Durango,688697,353285,335412,31927,37947,75830,35765,36136,454946,75853,505256,469120,53906,27013,15557,38618,7080,147792,241171,204076,327143,140996,186147,8340,173476,302609,98551,7195,573001,59370,752,52716,186768,67773,118995,683730,232395,451335,186768,224232,186870,3817,38612,185488,184775,162364,67250,182200,183670,176214,149114,45496,179186,85610,173659,107117,43799,19567,16270,4643,6684,4426,49,4244,6994,8173,3.0,0.0,51.3,48.7,4.6,5.5,11.0,5.2,5.2,66.1,68.1,11.0,7.8,50.1,28.9,5.6,50.7,42.1,12.0,17.3,1.4,29.3,51.4,29.6,47.5,43.1,56.9,1.2,25.2,105746,43.9,14.3,1.0,15.4,83.2,8.6,0.1,7.7,36.3,63.7,34.0,66.0,83.3,20.7,99.3,98.9,86.9,36.0,97.6,98.3,94.3,79.8,24.4,95.9,45.8,93.0,57.4,23.5,99.3,2.0,0.6,0.0,0.6,1.2,1.0
18,Ensenada,443807,222500,221307,18918,21114,42133,21509,20882,304500,53463,339720,318838,159809,80717,24414,20367,7752,75838,165913,127562,228454,96410,132044,3106,77808,203713,105448,9994,253458,86307,604,102020,139850,47568,92282,440625,141836,298789,139850,171203,139968,9320,43494,136311,132593,55127,10326,128536,131315,128859,111627,19231,127369,68939,131092,92742,45288,9811,8431,2674,3594,11753,457,11250,7977,23831,3.0,0.0,50.1,49.9,4.3,4.8,9.5,4.8,4.7,68.6,71.8,12.0,36.0,50.5,15.3,4.6,48.2,41.4,13.1,17.6,2.3,22.3,52.0,28.7,51.5,42.2,57.8,0.7,17.5,115442,45.9,23.8,2.3,26.0,57.1,19.4,0.1,23.0,34.0,66.0,32.2,67.8,81.8,31.1,97.5,94.8,39.4,7.4,91.9,93.9,92.1,79.8,13.8,91.1,49.3,93.7,66.3,32.4,99.3,6.7,2.6,0.1,2.5,5.4,1.8
19,Guadalajara,5268642,2684675,2583967,225751,263395,516733,260165,262968,3550317,600017,3952317,3689349,713917,364412,125158,225863,71309,929129,1961486,1436893,2715118,1170220,1544898,41230,1578536,2985136,324254,201856,4615204,278096,7411,307570,1483691,519305,964386,5241338,1723175,3518163,1483691,1799585,1484581,29200,326609,1466465,1462381,1114365,660099,1464842,1464641,1415828,1241434,345534,1416217,753925,1384577,1021204,457531,114200,93048,32883,44567,29548,204,28631,100726,58086,3.0,0.6,51.0,49.0,4.3,5.0,9.8,4.9,5.0,67.4,70.0,11.4,13.6,51.0,17.5,4.3,50.6,41.2,14.6,19.7,1.8,23.5,53.2,27.3,51.5,43.1,56.9,0.8,30.0,526110,56.7,6.2,3.8,10.0,87.6,5.3,0.1,5.8,35.0,65.0,32.9,67.1,82.5,22.0,98.8,98.6,75.1,44.5,98.7,98.7,95.4,83.7,23.3,95.5,50.8,93.3,68.8,30.8,99.5,2.0,0.6,0.0,0.5,1.1,1.9
20,Guanajuato,194500,100462,94038,9462,10214,19242,9719,9488,132066,20789,145735,136247,11816,6115,2676,7940,4821,37352,68296,59323,93436,40021,53415,2317,27808,66668,59389,5880,176707,6243,186,10818,51675,18768,32907,193690,65105,128585,51675,63114,51688,1827,12292,51321,49641,46778,6064,49893,50011,48561,42650,5158,48522,25168,46529,31336,11362,3837,3459,1180,1786,281,0,257,6384,468,3.0,0.0,51.7,48.3,4.9,5.3,9.9,5.0,4.9,67.9,70.0,10.7,6.1,51.8,22.6,4.1,48.3,43.6,14.9,22.5,3.3,25.6,50.1,30.5,48.0,42.8,57.2,1.2,14.3,65269,34.3,30.5,3.0,33.6,90.9,3.2,0.1,5.6,36.3,63.7,33.6,66.4,81.9,23.8,99.3,96.1,90.5,11.7,96.6,96.8,94.0,82.5,10.0,93.9,48.7,90.0,60.6,22.0,99.6,3.5,0.1,0.0,0.1,0.2,3.3
21,Guaymas,208294,104339,103955,9504,10550,20942,10523,10411,138443,27786,156655,146244,26315,12702,4787,11105,3572,43281,68499,65269,98749,40716,58033,1681,32990,124535,29655,3229,159601,22093,85,26113,61900,22795,39105,206157,73894,132263,61900,79927,61943,3691,20943,61114,60885,41614,10370,54343,56481,56997,44170,11072,57492,25501,56416,35534,13083,5411,4940,1576,1932,13564,531,12958,1593,18972,3.0,0.0,50.1,49.9,4.6,5.1,10.1,5.1,5.0,66.5,70.2,13.3,12.6,48.3,18.2,5.3,48.7,44.5,14.2,17.4,2.3,27.6,46.8,31.3,47.4,41.2,58.8,0.8,15.8,32884,59.8,14.2,1.6,15.8,76.6,10.6,0.0,12.5,36.8,63.2,35.8,64.2,77.5,33.8,98.7,98.4,67.2,16.8,87.8,91.2,92.1,71.4,17.9,92.9,41.2,91.1,57.4,21.1,99.0,6.0,6.5,0.3,6.2,9.1,0.8
22,Hermosillo,936263,468773,467490,35876,43782,93320,47793,46163,646237,104402,713519,667356,115327,54830,23472,41409,10245,157926,401494,274767,471237,199063,272174,9322,166919,520283,94217,44721,733294,97158,610,101403,278550,97515,181035,927042,307083,619959,278550,326410,278712,9021,75129,276314,275869,161778,19419,272391,274278,267153,222725,38120,261060,149299,264173,195823,92020,19542,17479,6044,7520,9757,203,9350,20506,18470,3.0,0.0,50.1,49.9,3.8,4.7,10.0,5.1,4.9,69.0,71.3,11.2,12.3,47.5,20.4,4.4,47.2,42.2,14.6,18.2,1.4,22.1,60.2,29.3,50.3,42.2,57.8,1.0,17.8,138938,55.6,10.1,4.8,14.8,78.3,10.4,0.1,10.8,35.0,65.0,33.1,66.9,85.4,27.0,99.2,99.0,58.1,7.0,97.8,98.5,95.9,80.0,13.7,93.7,53.6,94.8,70.3,33.0,99.0,3.2,1.0,0.0,1.0,2.0,2.2
23,Hidalgo del Parral,121666,62935,58731,5631,6349,12379,6099,6053,79848,16411,91101,85048,10768,5559,2517,6563,1617,21285,42233,40745,54906,22461,32445,1359,14073,61589,28473,2164,96256,12959,36,12190,35970,12962,23008,121201,40172,81029,35970,43378,35989,736,9119,35768,35713,33292,3224,35650,35674,34731,31098,2016,34305,16041,33277,21512,7587,3199,2659,872,1399,1009,11,962,1271,2172,3.0,0.0,51.7,48.3,4.6,5.2,10.2,5.0,5.0,65.6,69.9,13.5,8.9,51.6,23.4,5.4,48.7,40.5,13.3,21.3,1.8,23.4,49.7,33.5,45.1,40.9,59.1,1.1,11.6,30637,50.6,23.4,1.8,25.2,79.1,10.7,0.0,10.0,36.0,64.0,33.1,66.9,83.0,25.4,99.4,99.3,92.6,9.0,99.1,99.2,96.6,86.5,5.6,95.4,44.6,92.5,59.8,21.1,99.6,2.0,0.8,0.0,0.8,1.8,1.0
24,Juárez,1512450,755473,756977,61661,75783,158006,84852,82775,1042232,134989,1127670,1044895,410142,205031,58446,64510,15008,328216,481392,424859,773941,321981,451960,11113,281293,995662,111663,53709,990518,217017,1606,295236,449452,152263,297189,1505714,492203,1013511,449452,520392,449602,13916,131922,447215,445394,21983,4210,445733,446184,436106,395092,42892,433849,203599,422130,286079,121797,28426,30210,10133,10723,8160,53,7899,29450,18371,3.0,0.0,50.0,50.0,4.1,5.0,10.4,5.6,5.5,68.9,69.1,8.9,27.1,50.0,14.3,4.3,44.1,46.8,15.7,16.6,1.3,29.1,46.1,28.1,51.2,41.6,58.4,0.7,18.6,165372,65.8,7.4,3.6,10.9,65.5,14.3,0.1,19.5,33.9,66.1,32.7,67.3,86.4,29.4,99.5,99.1,4.9,0.9,99.2,99.3,97.0,87.9,9.5,96.5,45.3,93.9,63.7,27.1,99.6,3.1,0.5,0.0,0.5,1.2,1.9
