,NOM_ZM,POBTOT,POBFEM,POBMAS,P_0A2,P_3A5,P_6A11,P_12A14,P_15A17,POB15_64,P_60YMAS,P_15YMAS,P_18YMAS,PNACOE,PNACOE_F,PRESOE15,PCON_DISC,P15YM_AN,P15SEC_CO,P18YM_PB,PE_INAC,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PSINDER,PDER_IMSS,PDER_SEGP,PAFIL_IPRIV,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,TVIVPARHAB,VIVTOT,TVIVHAB,VPH_1CUART,VPH_1DOR,VPH_C_ELEC,VPH_AGUADV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_DRENAJ,VPH_REFRI,VPH_LAVAD,VPH_BICI,VPH_TV,VPH_PC,VPH_CEL,VPH_INTER,VPH_SPMVPI,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,P3YM_HLI,P3HLINHE,P3HLI_HE,POB_AFRO,PHOG_IND,PROM_OCUP,PRO_OCUP_C,POBFEM_%,POBMAS_%,P_0A2_%,P_3A5_%,P_6A11_%,P_12A14_%,P_15A17_%,POB15_64_%,P_18YMAS_%,P_60YMAS_%,PNACOE_%,PNACOE_F_%,PRESOE15_%,PCON_DISC_%,PCDISC_MOT_%,PCDISC_VIS_%,PCDISC_LENG_%,PCDISC_AUD_%,P15YM_AN_%,P15SEC_CO_%,P18YM_PB_%,PE_INAC_%,POCUPADA_%,POCUPADA_F_%,POCUPADA_M_%,PDESOCUP_%,PSINDER_%,OTRAS_DERECH,PDER_IMSS_%,PDER_SEGP_%,PAFIL_IPRIV_%,OTRAS_DERECH_%,PCATOLICA_%,PRO_CRIEVA_%,POTRAS_REL_%,PSIN_RELIG_%,HOGJEF_F_%,HOGJEF_M_%,PHOGJEF_F_%,PHOGJEF_M_%,TVIVHAB_%,VPH_1DOR_%,VPH_C_ELEC_%,VPH_AGUADV_%,VPH_TINACO_%,VPH_CISTER_%,VPH_EXCSA_%,VPH_DRENAJ_%,VPH_REFRI_%,VPH_LAVAD_%,VPH_BICI_%,VPH_TV_%,VPH_PC_%,VPH_CEL_%,VPH_INTER_%,VPH_SPMVPI_%,POBHOG_%,VPH_1CUART_%,P3YM_HLI_%,P3HLINHE_%,P3HLI_HE_%,PHOG_IND_%,POB_AFRO_%
52,San Francisco del Rincón,214713,109397,105316,12296,12468,25009,11960,12097,139028,19887,152604,140507,18120,9307,2923,11331,7210,37618,36267,51699,111233,46191,65042,1084,50806,62173,91642,3194,196278,10270,117,7368,52076,16039,36037,214270,62535,151735,52076,62617,52098,1991,13430,51701,51192,40963,7100,50754,50877,47350,44356,29610,49073,14864,45312,20391,5513,5271,4947,1651,2121,500,27,458,2963,939,4.0,1.0,51.0,49.0,5.7,5.8,11.6,5.6,5.6,64.8,65.4,9.3,8.4,51.4,16.1,5.3,46.5,43.7,14.6,18.7,4.7,24.7,25.8,24.1,51.8,41.5,58.5,0.5,23.7,94836,29.0,42.7,1.5,44.2,91.4,4.8,0.1,3.4,30.8,69.2,29.2,70.8,83.2,25.8,99.3,98.3,78.7,13.6,97.5,97.7,90.9,85.2,56.9,94.2,28.5,87.0,39.2,10.6,99.8,3.8,0.2,0.0,0.2,0.4,1.4
53,San Luis Potosí,1271366,655110,616256,53465,61993,121142,62028,64320,877589,141573,971344,907024,153999,79833,34804,50996,18688,225936,520806,362776,655582,288358,367224,12302,219589,766576,158531,53223,1096017,76510,1842,92828,357576,121388,236188,1267156,399313,867843,357576,417565,357777,4454,70722,355752,351368,304687,248993,352838,353322,340780,307918,104181,343117,183990,330407,236114,105793,23887,21998,7217,10584,6247,24,5813,33235,14720,3.3,0.3,51.5,48.5,4.2,4.9,9.5,4.9,5.1,69.0,71.3,11.1,12.1,51.8,22.6,4.0,46.8,43.1,14.2,20.8,1.9,23.3,57.4,28.5,51.6,44.0,56.0,1.0,17.3,211754,60.3,12.5,4.2,16.7,86.2,6.0,0.1,7.3,33.9,66.1,31.5,68.5,85.7,19.8,99.5,98.3,85.2,69.6,98.7,98.8,95.3,86.1,29.1,96.0,51.5,92.4,66.0,29.6,99.7,1.2,0.5,0.0,0.5,1.2,2.6
54,Tampico,773285,399974,373311,28473,34048,70674,36025,36281,528086,111011,602307,566026,177525,95939,27096,39891,11042,121893,329741,256986,369089,157581,211508,10356,157450,377892,114995,14046,570633,118787,530,80042,240386,80750,159636,771503,236068,535435,240386,293294,240442,11759,77137,238472,237338,110753,9546,234606,235600,225879,198522,27031,225381,105758,225120,156952,62450,19183,17463,5920,8143,7698,53,7592,10360,19316,3.0,0.0,51.7,48.3,3.7,4.4,9.1,4.7,4.7,68.3,73.2,14.4,23.0,54.0,15.3,5.2,48.1,43.8,14.8,20.4,1.8,20.2,58.3,33.2,47.7,42.7,57.3,1.3,20.4,129041,48.9,14.9,1.8,16.7,73.8,15.4,0.1,10.4,33.6,66.4,30.6,69.4,82.0,32.1,99.2,98.7,46.1,4.0,97.6,98.0,94.0,82.6,11.2,93.8,44.0,93.6,65.3,26.0,99.8,4.9,1.0,0.0,1.0,2.5,1.3
55,Tapachula,353706,182096,171610,20233,19971,38338,18916,18676,227836,37919,253411,234735,16419,7983,5368,16426,17407,53535,104556,104275,162204,68212,93992,4012,150537,102284,60685,2545,167204,106993,407,75711,96211,33731,62480,350322,115924,234398,96211,121813,96307,15201,38543,94335,87887,43964,21062,92803,93593,78994,52498,12170,83780,23536,83419,31777,8078,7023,6885,3404,3518,3432,73,3309,4287,8516,3.0,1.0,51.5,48.5,5.7,5.6,10.8,5.3,5.3,64.4,66.4,10.7,4.6,48.6,32.7,4.6,42.8,41.9,20.7,21.4,6.9,21.1,44.5,29.5,45.9,42.1,57.9,1.1,42.6,63230,28.9,17.2,0.7,17.9,47.3,30.2,0.1,21.4,35.1,64.9,33.1,66.9,79.1,40.1,98.1,91.3,45.7,21.9,96.5,97.3,82.1,54.6,12.6,87.1,24.5,86.7,33.0,8.4,99.0,15.8,1.0,0.0,0.9,2.4,1.2
56,Tecomán,143931,72162,71769,6565,7500,16531,7823,7527,93664,17099,105331,97804,34810,17478,5981,9306,7704,27527,30221,37180,74637,29946,44691,934,23345,53458,60847,934,118314,13813,56,11496,41225,14087,27138,143572,48465,95107,41225,51350,41256,3562,15819,40760,40490,22454,10095,40745,40814,36472,27028,13215,35912,9108,36207,14097,3138,4645,4293,1428,1847,1828,94,1726,2966,3219,3.0,1.0,50.1,49.9,4.6,5.2,11.5,5.4,5.2,65.1,68.0,11.9,24.2,50.2,17.2,6.5,49.9,46.1,15.3,19.8,7.3,26.1,30.9,25.8,51.9,40.1,59.9,0.6,16.2,61781,37.1,42.3,0.6,42.9,82.2,9.6,0.0,8.0,34.2,65.8,33.8,66.2,80.3,38.4,98.9,98.2,54.5,24.5,98.8,99.0,88.5,65.6,32.1,87.1,22.1,87.8,34.2,7.6,99.8,8.6,1.3,0.1,1.2,2.2,2.1
57,Tehuacán,357621,188541,169080,17966,19398,38558,19823,20728,239727,33766,261820,241092,55173,30549,10959,17309,13527,54941,104661,91133,187134,86348,100786,2636,123980,110665,98078,3053,284109,43747,427,28745,92770,33660,59110,356428,121544,234884,92770,113246,92797,8082,32101,91962,90037,65928,47205,88109,90978,74909,53100,29120,83108,31847,84070,46096,10700,7562,8053,2548,3688,29328,459,28561,5005,72727,3.5,1.0,52.7,47.3,5.0,5.4,10.8,5.5,5.8,67.0,67.4,9.4,15.4,55.4,19.9,4.8,43.7,46.5,14.7,21.3,5.2,21.0,43.4,25.5,52.3,46.1,53.9,0.7,34.7,101131,30.9,27.4,0.9,28.3,79.4,12.2,0.1,8.0,36.3,63.7,34.1,65.9,81.9,34.6,99.1,97.1,71.1,50.9,95.0,98.1,80.7,57.2,31.4,89.6,34.3,90.6,49.7,11.5,99.7,8.7,8.2,0.1,8.0,20.3,1.4
58,Tehuantepec,179870,92930,86940,7779,9167,18285,9418,9324,118835,24247,135071,125747,17234,8686,4891,10574,10347,29926,54026,55210,86465,38682,47783,2253,43290,36220,61208,784,119017,34108,144,26305,52494,17326,35168,179456,54014,125442,52494,67800,52511,7892,24695,51422,48078,37442,17009,50923,50744,44991,33764,8181,44126,14505,45058,22375,4285,5555,4527,1537,2114,26105,1578,24384,2639,44069,3.0,1.0,51.7,48.3,4.3,5.1,10.2,5.2,5.2,66.1,69.9,13.5,9.6,50.4,28.4,5.9,52.5,42.8,14.5,20.0,7.7,22.2,43.0,30.7,48.1,44.7,55.3,1.3,24.1,61992,20.1,34.0,0.4,34.5,66.2,19.0,0.1,14.6,33.0,67.0,30.1,69.9,77.4,47.0,98.0,91.6,71.3,32.4,97.0,96.7,85.7,64.3,15.6,84.1,27.6,85.8,42.6,8.2,99.8,15.0,14.5,0.9,13.6,24.5,1.5
59,Tepic,491153,252339,238814,20941,24498,50060,25155,24905,329355,60171,369926,345021,70914,35560,15678,25418,8074,79159,205351,139063,250002,113476,136526,3600,105149,231035,67712,7102,409316,41110,923,38749,144850,51937,92913,485902,160125,325777,144850,180342,144964,4304,35750,143715,143021,120579,70723,143002,143375,135630,112891,19847,136434,71653,134947,94242,38683,11640,10750,3465,4749,11496,166,11244,4092,17534,3.0,0.0,51.4,48.6,4.3,5.0,10.2,5.1,5.1,67.1,70.2,12.3,14.4,50.1,22.1,5.2,45.8,42.3,13.6,18.7,2.2,21.4,59.5,28.3,50.9,45.4,54.6,0.7,21.4,74814,47.0,13.8,1.4,15.2,83.3,8.4,0.2,7.9,35.9,64.1,33.0,67.0,80.4,24.7,99.2,98.7,83.2,48.8,98.7,99.0,93.6,77.9,13.7,94.2,49.5,93.2,65.1,26.7,98.9,3.0,2.3,0.0,2.3,3.6,0.8
60,Teziutlán,138806,73225,65581,7019,7485,15688,7738,8130,91471,13840,100856,92726,12446,7216,3208,5388,5669,22331,38151,37077,70700,31688,39012,627,48062,39116,41808,1654,116917,10168,169,11458,36136,12806,23330,138419,44091,94328,36136,43438,36145,2830,13519,35842,35616,25296,8502,34146,34831,25398,18931,1754,33552,10009,31701,11994,2963,2289,2324,925,1300,9909,118,9741,1656,25058,3.5,0.5,52.8,47.2,5.1,5.4,11.3,5.6,5.9,65.9,66.8,10.0,9.0,58.0,25.8,3.9,42.5,43.1,17.2,24.1,5.6,22.1,41.1,26.7,50.9,44.8,55.2,0.5,34.6,43462,28.2,30.1,1.2,31.3,84.2,7.3,0.1,8.3,35.4,64.6,31.9,68.1,83.2,37.4,99.2,98.6,70.0,23.5,94.5,96.4,70.3,52.4,4.9,92.8,27.7,87.7,33.2,8.2,99.7,7.8,7.1,0.1,7.0,18.1,1.2
61,Tianguistenco,183281,94446,88835,9577,10201,20302,10130,10292,121494,17561,133029,122737,13305,7317,2706,6663,3842,40804,51142,48370,93111,39350,53761,1347,62158,37294,68803,1060,161296,9415,202,12172,42779,12101,30678,183254,47759,135495,42779,51189,42788,2667,13023,42482,41912,32140,9529,40866,41675,29503,26497,12770,39410,12508,35337,19083,4169,2771,3176,1006,1509,1475,9,1450,2287,4302,3.8,1.0,51.5,48.5,5.2,5.6,11.1,5.5,5.6,66.3,67.0,9.6,7.3,55.0,20.3,3.6,41.6,47.7,15.1,22.6,2.9,30.7,41.7,26.4,50.8,42.3,57.7,0.7,33.9,69863,20.3,37.5,0.6,38.1,88.0,5.1,0.1,6.6,28.3,71.7,26.1,73.9,83.6,30.4,99.3,98.0,75.1,22.3,95.5,97.4,69.0,61.9,29.9,92.1,29.2,82.6,44.6,9.7,100.0,6.2,0.8,0.0,0.8,2.3,1.2
62,Tijuana,2157853,1067597,1090256,85991,100809,210171,107159,104862,1522246,195109,1646758,1541896,950489,477744,143132,80730,25011,419072,751176,567494,1156588,482868,673720,14761,536689,1171269,237171,79274,1336539,352159,3951,450634,645957,220033,425924,2139730,711526,1428204,645957,728205,646322,34183,189699,638909,631532,46063,50790,631826,634430,614586,526506,59956,605999,332561,609597,469164,224855,36328,36151,13373,14510,14207,143,13958,41226,33262,3.0,0.0,49.5,50.5,4.0,4.7,9.7,5.0,4.9,70.5,71.5,9.0,44.0,50.3,15.1,3.7,45.0,44.8,16.6,18.0,1.5,25.4,48.7,26.3,53.6,41.7,58.3,0.7,24.9,316445,54.3,11.0,3.7,14.7,61.9,16.3,0.2,20.9,34.1,65.9,33.3,66.7,88.8,29.4,98.9,97.8,7.1,7.9,97.8,98.2,95.1,81.5,9.3,93.8,51.5,94.4,72.6,34.8,99.2,5.3,0.7,0.0,0.6,1.5,1.9
63,Tlaxcala-Apizaco,570308,295693,274615,23408,26885,55495,28719,29523,372428,64333,415938,386415,94106,51592,19575,22791,8878,105253,209725,167134,269423,116621,152802,7035,145340,169149,168661,7950,458881,40502,868,49191,152525,49624,102901,568700,166298,402402,152525,192172,152573,5346,38945,146745,146460,130362,41616,143958,145236,121609,93809,39496,137633,55601,131964,70910,17901,10003,10662,3284,5451,11462,104,11255,8925,30344,3.3,0.4,51.8,48.2,4.1,4.7,9.7,5.0,5.2,65.3,67.8,11.3,16.5,54.8,20.8,4.0,43.9,46.8,14.4,23.9,2.1,25.3,54.3,29.3,47.2,43.3,56.7,1.2,25.5,176611,29.7,29.6,1.4,31.0,80.5,7.1,0.2,8.6,32.5,67.5,29.2,70.8,79.4,25.5,96.2,96.0,85.5,27.3,94.4,95.2,79.7,61.5,25.9,90.2,36.5,86.5,46.5,11.7,99.7,3.5,2.0,0.0,2.0,5.3,1.6
64,Toluca,2353924,1209745,1144179,105941,118423,243171,126103,126046,1604696,236325,1758168,1632122,281479,151393,50524,81819,54883,458520,823337,718038,1136006,467407,668599,26339,801702,828394,411197,37503,2026661,156922,3695,161415,596909,169243,427666,2346173,586753,1759420,596909,727661,597044,19105,147472,593079,584031,452696,178436,575255,582198,475028,392728,181423,561514,244791,525067,315420,113336,35170,37084,12845,19047,61930,1021,60240,37704,159487,3.7,0.5,51.4,48.6,4.5,5.0,10.3,5.4,5.4,68.2,69.3,10.0,12.0,53.8,17.9,3.5,43.0,45.3,15.7,23.3,3.1,26.1,50.4,30.5,48.3,41.1,58.9,1.1,34.1,448700,35.2,17.5,1.6,19.1,86.1,6.7,0.2,6.9,28.4,71.6,25.0,75.0,82.0,24.7,99.4,97.8,75.8,29.9,96.4,97.5,79.6,65.8,30.4,94.1,41.0,88.0,52.8,19.0,99.7,3.2,2.6,0.0,2.6,6.8,1.6
65,Tula,256795,132102,124693,10737,12784,26448,13347,13441,174157,28728,193340,179899,70049,36784,23460,12318,5163,56646,81918,81183,121642,49855,71787,3369,74496,96969,56345,2646,208262,22097,673,25374,71749,21853,49896,256088,70191,185897,71749,104620,71769,2237,17832,71144,70284,56999,16374,69836,70369,62396,49754,19054,66730,25097,63877,31978,9066,5494,5672,1585,2807,1728,3,1704,4818,4711,3.2,0.4,51.4,48.6,4.2,5.0,10.3,5.2,5.2,67.8,70.1,11.2,27.3,52.5,33.5,4.8,44.6,46.0,12.9,22.8,2.7,29.3,45.5,31.6,47.4,41.0,59.0,1.3,29.0,58991,37.8,21.9,1.0,23.0,81.1,8.6,0.3,9.9,30.5,69.5,27.4,72.6,68.6,24.9,99.2,98.0,79.4,22.8,97.3,98.1,87.0,69.3,26.6,93.0,35.0,89.0,44.6,12.6,99.7,3.1,0.7,0.0,0.7,1.8,1.9
66,Tulancingo,268351,141072,127279,12691,13553,28692,14744,14766,177875,30728,198534,183768,40400,22289,8045,11492,10685,54299,73372,76515,134319,59348,74971,1893,115038,62623,72638,1923,220149,22020,397,25500,73173,25032,48141,267454,82223,185231,73173,94561,73209,3072,21820,72680,70900,65391,21015,70071,71286,62126,47314,18975,67882,21725,65698,32929,8774,5224,4944,1854,2499,5170,109,5007,3214,12766,3.0,0.3,52.6,47.4,4.7,5.1,10.7,5.5,5.5,66.3,68.5,11.5,15.1,55.2,19.9,4.3,45.5,43.0,16.1,21.7,5.4,27.3,39.9,28.5,50.1,44.2,55.8,0.7,42.9,74561,23.3,27.1,0.7,27.8,82.0,8.2,0.1,9.5,34.2,65.8,30.7,69.3,77.4,29.8,99.3,96.9,89.4,28.7,95.8,97.4,84.9,64.7,25.9,92.8,29.7,89.8,45.0,12.0,99.7,4.2,1.9,0.0,1.9,4.8,1.2
67,Tuxtla Gutiérrez,848274,440042,408232,40995,46039,88506,42704,42880,570269,86837,627450,584570,47129,23869,12412,33484,34128,115589,310623,246887,411867,177237,234630,9762,345970,225376,155858,17451,558349,186941,569,98767,228834,78847,149987,846364,271769,574595,228834,292865,228908,26930,79401,226716,212492,188464,130982,224807,225927,203300,156129,17135,209972,86734,208239,116080,32979,16392,14423,5793,7048,20697,506,20145,10988,41135,3.2,1.0,51.9,48.1,4.8,5.4,10.4,5.0,5.1,67.2,68.9,10.2,5.6,50.6,26.3,3.9,49.0,43.1,17.3,21.0,5.4,18.4,53.1,29.1,48.6,43.0,57.0,1.2,40.8,173309,26.6,18.4,2.1,20.4,65.8,22.0,0.1,11.6,34.5,65.5,32.1,67.9,78.2,34.7,99.1,92.9,82.4,57.2,98.2,98.7,88.8,68.2,7.5,91.8,37.9,91.0,50.7,14.4,99.8,11.8,2.4,0.1,2.4,4.8,1.3
68,Valle de México,21804515,11281695,10522820,765636,916730,1883707,998750,1019426,15241707,2967831,17224108,16204682,6574984,3518661,711200,1074244,307033,3956592,9146338,6698081,11228212,4895455,6332757,252617,6778925,8870141,3122760,676191,16506476,1702178,112682,3407787,6230614,2245790,3984824,21717337,7239227,14478110,6230614,7090310,6232380,324100,1909946,6208184,6117850,5054717,3127493,6172450,6183905,5698804,4987949,1485390,5964356,3181371,5672153,4222194,1651537,497650,488400,138806,239174,319615,2810,311238,421799,797934,3.1,0.5,51.7,48.3,3.5,4.2,8.6,4.6,4.7,69.9,74.3,13.6,30.2,53.5,10.8,4.9,46.3,45.5,12.9,22.3,1.8,23.0,56.4,30.7,51.5,43.6,56.4,1.2,31.1,3798951,40.7,14.3,3.1,17.4,75.7,7.8,0.5,15.6,36.0,64.0,33.3,66.7,87.9,30.7,99.6,98.2,81.1,50.2,99.1,99.3,91.5,80.1,23.8,95.7,51.1,91.0,67.8,26.5,99.6,5.2,1.5,0.0,1.4,3.7,1.9
69,Veracruz,939046,492617,446429,29113,37198,79568,40324,41211,656544,139857,751681,710470,101027,52652,21260,48699,22158,149669,386216,298635,480764,211326,269438,10916,259687,459640,112942,17175,683692,136841,1779,114220,312801,124921,187880,936741,356601,580140,312801,423759,312891,25609,112590,311195,308156,207070,55319,309212,309100,292544,254428,34762,290523,126425,289184,189950,73026,23517,21894,7474,10364,5538,54,5452,39683,13251,2.8,0.0,52.5,47.5,3.1,4.0,8.5,4.3,4.4,69.9,75.7,14.9,10.8,52.1,21.0,5.2,48.3,45.0,15.3,21.3,2.9,19.9,54.4,31.8,51.2,44.0,56.0,1.2,27.7,130117,48.9,12.0,1.8,13.9,72.8,14.6,0.2,12.2,39.9,60.1,38.1,61.9,73.8,36.0,99.5,98.5,66.2,17.7,98.9,98.8,93.5,81.3,11.1,92.9,40.4,92.4,60.7,23.3,99.8,8.2,0.6,0.0,0.6,1.4,4.2
70,Villahermosa,833907,430933,402974,35382,41542,84453,41677,40486,570811,91357,630223,589737,102420,52482,15239,46793,21356,130775,340332,243706,415744,179541,236203,10692,255871,256631,158120,16098,538985,211160,509,80985,239645,81561,158084,831274,260185,571089,239645,300042,239690,25035,86549,238651,236040,144185,42628,237143,237400,220899,196741,26047,219071,93606,218385,126465,44491,22506,22806,7131,8825,48276,322,47580,14036,75194,3.0,1.0,51.7,48.3,4.2,5.0,10.1,5.0,4.9,68.5,70.7,11.0,12.3,51.2,14.9,5.6,48.1,48.7,15.2,18.9,3.4,20.8,57.7,29.2,49.9,43.2,56.8,1.3,30.7,174218,30.8,19.0,1.9,20.9,64.6,25.3,0.1,9.7,34.0,66.0,31.3,68.7,79.9,36.1,99.6,98.5,60.2,17.8,99.0,99.1,92.2,82.1,10.9,91.4,39.1,91.1,52.8,18.6,99.7,10.4,5.8,0.0,5.7,9.0,1.7
71,Xalapa,789157,417651,371506,27864,34419,72054,36955,38866,543682,108578,617357,578491,61114,32950,13314,39193,23405,108828,322346,246476,397758,179407,218351,8807,221418,299932,187127,11533,624013,71833,1231,90720,238348,96306,142042,787506,295520,491986,238348,306570,238419,19081,82837,236471,234534,191242,45572,233410,235489,207894,166420,18083,219419,111619,216679,148581,55854,17204,17914,5462,8833,3642,16,3601,26007,9022,3.0,0.4,52.9,47.1,3.5,4.4,9.1,4.7,4.9,68.9,73.3,13.8,7.7,53.9,21.8,5.0,43.9,45.7,13.9,22.5,3.8,17.6,55.7,31.2,50.4,45.1,54.9,1.1,28.1,198660,38.0,23.7,1.5,25.2,79.1,9.1,0.2,11.5,40.4,59.6,37.5,62.5,77.8,34.8,99.2,98.4,80.2,19.1,97.9,98.8,87.2,69.8,7.6,92.1,46.8,90.9,62.3,23.4,99.8,8.0,0.5,0.0,0.5,1.1,3.3
72,Zacatecas-Guadalupe,405285,209262,196023,19293,21942,42983,20815,21045,273490,40547,299395,278350,41604,20813,10261,21191,5168,73377,156349,124032,190531,81971,108560,4415,67699,208002,78723,2763,365283,19806,365,18550,113771,36229,77542,402979,114048,288931,113771,146663,113827,1688,23809,113204,111995,108315,24300,112428,112633,106928,99873,16500,109223,58195,105863,78065,28443,9429,9980,2668,3984,1182,10,1152,4933,2460,3.2,0.2,51.6,48.4,4.8,5.4,10.6,5.1,5.2,67.5,68.7,10.0,10.3,50.0,24.7,5.2,44.5,47.1,12.6,18.8,1.7,24.5,56.2,30.6,47.0,43.0,57.0,1.1,16.7,81486,51.3,19.4,0.7,20.1,90.1,4.9,0.1,4.6,31.8,68.2,28.3,71.7,77.6,20.9,99.5,98.4,95.2,21.4,98.8,99.0,94.0,87.8,14.5,96.0,51.2,93.0,68.6,25.0,99.4,1.5,0.3,0.0,0.3,0.6,1.2
73,Zamora,273641,141483,132158,13748,15475,30854,15073,14368,175946,32588,198417,184049,20569,10405,4469,14226,12889,37064,65326,72850,138249,59635,78614,1575,97523,115140,41308,5242,242580,16639,203,13785,76204,25149,51055,272732,84066,188666,76204,97510,76259,1841,21098,75870,74941,61677,23284,75345,75607,69871,58749,30106,72357,26343,67489,42444,11756,7258,6197,2055,2960,1761,23,1731,4719,4490,3.0,0.5,51.7,48.3,5.0,5.7,11.3,5.5,5.3,64.3,67.3,11.9,7.5,50.6,21.7,5.2,51.0,43.6,14.4,20.8,6.5,18.7,35.5,26.6,50.5,43.1,56.9,0.6,35.6,46550,42.1,15.1,1.9,17.0,88.6,6.1,0.1,5.0,33.0,67.0,30.8,69.2,78.2,27.7,99.6,98.3,80.9,30.6,98.9,99.2,91.7,77.1,39.5,95.0,34.6,88.6,55.7,15.4,99.7,2.4,0.6,0.0,0.6,1.6,1.7
